TimeStamp,at,de,pt,es,se
2016-01-01 00:00:00+00:00,171.75,60.5,74.0,1840.0,5102.0
2016-01-01 01:00:00+00:00,151.5,61.5,104.0,1343.0,4981.0
2016-01-01 02:00:00+00:00,173.0,62.25,98.0,906.0,4964.0
2016-01-01 03:00:00+00:00,143.5,48.75,69.0,545.0,4957.0
2016-01-01 04:00:00+00:00,161.0,53.75,68.0,446.0,5174.0
2016-01-01 05:00:00+00:00,192.75,66.5,68.0,475.0,5866.0
2016-01-01 06:00:00+00:00,190.25,59.25,67.0,395.0,6804.0
2016-01-01 07:00:00+00:00,175.25,43.0,69.0,410.0,7818.0
2016-01-01 08:00:00+00:00,192.0,43.75,80.0,616.0,8006.0
2016-01-01 09:00:00+00:00,149.75,42.5,106.0,1025.0,8500.0
2016-01-01 10:00:00+00:00,173.75,44.25,108.0,1040.0,8771.0
2016-01-01 11:00:00+00:00,221.5,26.75,71.0,991.0,9015.0
2016-01-01 12:00:00+00:00,181.25,47.75,109.0,750.0,9065.0
2016-01-01 13:00:00+00:00,166.0,52.5,122.0,913.0,9368.0
2016-01-01 14:00:00+00:00,176.0,44.75,77.0,876.0,9967.0
2016-01-01 15:00:00+00:00,277.0,37.5,68.0,677.0,10340.0
2016-01-01 16:00:00+00:00,366.5,31.25,79.0,867.0,10433.0
2016-01-01 17:00:00+00:00,408.75,24.75,109.0,1440.0,10313.0
2016-01-01 18:00:00+00:00,361.25,19.5,197.0,1447.0,10025.0
2016-01-01 19:00:00+00:00,399.75,29.5,145.0,1568.0,9448.0
2016-01-01 20:00:00+00:00,345.0,21.25,104.0,1531.0,9232.0
2016-01-01 21:00:00+00:00,249.5,62.5,104.0,1243.0,8553.0
2016-01-01 22:00:00+00:00,217.5,78.25,85.0,1324.0,7754.0
2016-01-01 23:00:00+00:00,245.0,22.0,81.0,489.0,6254.0
2016-01-02 00:00:00+00:00,178.0,36.75,79.0,587.0,5673.0
2016-01-02 01:00:00+00:00,154.25,24.25,25.0,544.0,4869.0
2016-01-02 02:00:00+00:00,150.5,28.75,3.0,622.0,4557.0
2016-01-02 03:00:00+00:00,146.0,48.5,4.0,508.0,4523.0
2016-01-02 04:00:00+00:00,151.75,61.0,3.0,448.0,4584.0
2016-01-02 05:00:00+00:00,196.5,36.0,4.0,508.0,4675.0
2016-01-02 06:00:00+00:00,223.75,79.0,5.0,783.0,6007.0
2016-01-02 07:00:00+00:00,290.75,78.75,51.0,696.0,7212.0
2016-01-02 08:00:00+00:00,239.25,54.25,74.0,1001.0,8096.0
2016-01-02 09:00:00+00:00,256.25,75.75,208.0,1376.0,8483.0
2016-01-02 10:00:00+00:00,222.75,62.25,232.0,1178.0,8685.0
2016-01-02 11:00:00+00:00,265.75,101.75,180.0,1019.0,9049.0
2016-01-02 12:00:00+00:00,202.25,68.75,179.0,869.0,9083.0
2016-01-02 13:00:00+00:00,239.75,89.5,181.0,1142.0,9254.0
2016-01-02 14:00:00+00:00,237.75,5.25,117.0,1268.0,9519.0
2016-01-02 15:00:00+00:00,255.0,46.5,144.0,1354.0,9765.0
2016-01-02 16:00:00+00:00,364.0,65.0,131.0,2345.0,9794.0
2016-01-02 17:00:00+00:00,318.75,58.5,309.0,4272.0,9699.0
2016-01-02 18:00:00+00:00,256.75,41.25,749.0,4686.0,9550.0
2016-01-02 19:00:00+00:00,257.75,56.5,1099.0,5090.0,9239.0
2016-01-02 20:00:00+00:00,243.25,14.25,1050.0,4966.0,9089.0
2016-01-02 21:00:00+00:00,170.0,49.0,648.0,3981.0,8500.0
2016-01-02 22:00:00+00:00,166.75,28.5,288.0,2882.0,7690.0
2016-01-02 23:00:00+00:00,243.75,41.25,144.0,1627.0,6096.0
2016-01-03 00:00:00+00:00,256.25,31.5,103.0,1546.0,5600.0
2016-01-03 01:00:00+00:00,202.0,21.25,136.0,1223.0,5413.0
2016-01-03 02:00:00+00:00,194.75,31.25,141.0,465.0,5441.0
2016-01-03 03:00:00+00:00,180.25,51.75,140.0,360.0,5460.0
2016-01-03 04:00:00+00:00,263.25,35.25,140.0,472.0,5706.0
2016-01-03 05:00:00+00:00,227.5,31.5,141.0,323.0,6411.0
2016-01-03 06:00:00+00:00,247.0,65.75,130.0,611.0,7275.0
2016-01-03 07:00:00+00:00,225.75,19.25,124.0,571.0,7802.0
2016-01-03 08:00:00+00:00,267.0,12.5,129.0,984.0,8498.0
2016-01-03 09:00:00+00:00,347.5,11.0,171.0,1072.0,9276.0
2016-01-03 10:00:00+00:00,362.5,24.0,192.0,1453.0,9490.0
2016-01-03 11:00:00+00:00,245.25,11.75,173.0,1929.0,9565.0
2016-01-03 12:00:00+00:00,229.5,9.25,156.0,1262.0,9628.0
2016-01-03 13:00:00+00:00,210.25,11.5,150.0,1136.0,9769.0
2016-01-03 14:00:00+00:00,140.0,21.25,193.0,1330.0,10171.0
2016-01-03 15:00:00+00:00,418.0,53.75,210.0,1250.0,10441.0
2016-01-03 16:00:00+00:00,670.25,11.5,153.0,1337.0,10456.0
2016-01-03 17:00:00+00:00,559.25,9.75,143.0,2412.0,10375.0
2016-01-03 18:00:00+00:00,421.0,18.25,230.0,2390.0,10252.0
2016-01-03 19:00:00+00:00,361.5,26.25,206.0,2252.0,10045.0
2016-01-03 20:00:00+00:00,283.25,41.75,206.0,2031.0,9517.0
2016-01-03 21:00:00+00:00,294.5,78.5,197.0,1714.0,9050.0
2016-01-03 22:00:00+00:00,393.0,140.25,109.0,1307.0,8451.0
2016-01-03 23:00:00+00:00,375.5,50.5,109.0,900.0,6892.0
2016-01-04 00:00:00+00:00,332.25,62.25,160.0,870.0,6307.0
2016-01-04 01:00:00+00:00,305.5,45.5,162.0,817.0,6141.0
2016-01-04 02:00:00+00:00,269.75,38.25,87.0,837.0,6123.0
2016-01-04 03:00:00+00:00,232.5,75.25,61.0,780.0,6207.0
2016-01-04 04:00:00+00:00,232.25,41.75,43.0,1007.0,7150.0
2016-01-04 05:00:00+00:00,543.75,41.0,164.0,1249.0,9128.0
2016-01-04 06:00:00+00:00,738.75,94.5,213.0,2089.0,10401.0
2016-01-04 07:00:00+00:00,958.75,67.0,231.0,2098.0,10870.0
2016-01-04 08:00:00+00:00,771.5,43.25,247.0,3067.0,10962.0
2016-01-04 09:00:00+00:00,852.0,92.5,320.0,4542.0,11010.0
2016-01-04 10:00:00+00:00,818.25,73.5,383.0,4910.0,10950.0
2016-01-04 11:00:00+00:00,916.0,71.75,621.0,4700.0,10944.0
2016-01-04 12:00:00+00:00,790.5,78.75,580.0,4337.0,10956.0
2016-01-04 13:00:00+00:00,682.75,70.0,586.0,3987.0,10988.0
2016-01-04 14:00:00+00:00,633.5,76.75,681.0,3760.0,11081.0
2016-01-04 15:00:00+00:00,762.75,89.25,803.0,3622.0,11331.0
2016-01-04 16:00:00+00:00,853.0,122.5,778.0,5114.0,11694.0
2016-01-04 17:00:00+00:00,887.0,69.75,731.0,5600.0,11350.0
2016-01-04 18:00:00+00:00,616.25,32.75,752.0,4529.0,11106.0
2016-01-04 19:00:00+00:00,478.75,42.5,821.0,3671.0,10797.0
2016-01-04 20:00:00+00:00,245.75,30.75,394.0,3611.0,10031.0
2016-01-04 21:00:00+00:00,182.5,27.75,299.0,2428.0,9256.0
2016-01-04 22:00:00+00:00,112.5,38.0,326.0,1856.0,8599.0
2016-01-04 23:00:00+00:00,95.0,33.5,955.0,2053.0,7157.0
2016-01-05 00:00:00+00:00,128.25,43.25,360.0,2052.0,6645.0
2016-01-05 01:00:00+00:00,142.5,18.75,347.0,1901.0,6551.0
2016-01-05 02:00:00+00:00,198.25,18.0,246.0,1884.0,6519.0
2016-01-05 03:00:00+00:00,206.25,18.0,358.0,1865.0,6709.0
2016-01-05 04:00:00+00:00,189.25,18.0,374.0,1513.0,7579.0
2016-01-05 05:00:00+00:00,280.25,26.25,421.0,1934.0,9347.0
2016-01-05 06:00:00+00:00,517.75,40.5,831.0,2865.0,10866.0
2016-01-05 07:00:00+00:00,573.25,42.0,988.0,3449.0,11460.0
2016-01-05 08:00:00+00:00,371.25,40.5,790.0,4275.0,11655.0
2016-01-05 09:00:00+00:00,621.75,32.0,782.0,4688.0,11700.0
2016-01-05 10:00:00+00:00,579.0,23.25,1001.0,3873.0,11464.0
2016-01-05 11:00:00+00:00,398.0,13.25,961.0,3182.0,11184.0
2016-01-05 12:00:00+00:00,395.25,6.5,972.0,2938.0,11188.0
2016-01-05 13:00:00+00:00,313.25,8.25,914.0,2976.0,11262.0
2016-01-05 14:00:00+00:00,629.25,48.75,1019.0,3048.0,11566.0
2016-01-05 15:00:00+00:00,696.5,225.25,993.0,3331.0,12068.0
2016-01-05 16:00:00+00:00,869.25,182.0,1316.0,3938.0,12067.0
2016-01-05 17:00:00+00:00,942.0,143.75,1313.0,4672.0,11856.0
2016-01-05 18:00:00+00:00,861.5,155.75,1321.0,4099.0,11334.0
2016-01-05 19:00:00+00:00,531.5,82.0,1234.0,3221.0,10702.0
2016-01-05 20:00:00+00:00,271.25,51.75,1150.0,2769.0,10239.0
2016-01-05 21:00:00+00:00,168.25,47.5,1120.0,2753.0,9470.0
2016-01-05 22:00:00+00:00,116.75,70.5,1064.0,2902.0,8931.0
2016-01-05 23:00:00+00:00,212.25,37.75,990.0,2504.0,7957.0
2016-01-06 00:00:00+00:00,211.75,31.25,421.0,2421.0,7714.0
2016-01-06 01:00:00+00:00,184.25,33.0,599.0,1929.0,7562.0
2016-01-06 02:00:00+00:00,211.5,27.0,388.0,1587.0,7541.0
2016-01-06 03:00:00+00:00,265.5,32.25,389.0,1500.0,7689.0
2016-01-06 04:00:00+00:00,209.25,23.0,380.0,1451.0,8392.0
2016-01-06 05:00:00+00:00,296.75,43.5,384.0,1439.0,9803.0
2016-01-06 06:00:00+00:00,210.75,57.5,833.0,1483.0,10973.0
2016-01-06 07:00:00+00:00,169.75,29.5,881.0,1500.0,11414.0
2016-01-06 08:00:00+00:00,177.0,25.25,633.0,2202.0,11713.0
2016-01-06 09:00:00+00:00,270.75,24.0,786.0,2412.0,11707.0
2016-01-06 10:00:00+00:00,530.25,25.75,827.0,2433.0,11814.0
2016-01-06 11:00:00+00:00,565.75,70.25,668.0,2538.0,11690.0
2016-01-06 12:00:00+00:00,463.25,30.75,615.0,2568.0,11749.0
2016-01-06 13:00:00+00:00,302.25,42.5,556.0,2664.0,11748.0
2016-01-06 14:00:00+00:00,259.75,42.25,551.0,2444.0,11687.0
2016-01-06 15:00:00+00:00,458.0,26.25,465.0,2686.0,11864.0
2016-01-06 16:00:00+00:00,659.5,16.25,1061.0,2446.0,11857.0
2016-01-06 17:00:00+00:00,1010.5,23.25,1201.0,3272.0,11839.0
2016-01-06 18:00:00+00:00,681.5,13.5,1230.0,3639.0,11743.0
2016-01-06 19:00:00+00:00,350.5,48.25,1179.0,4083.0,11259.0
2016-01-06 20:00:00+00:00,353.25,57.5,1182.0,4202.0,10835.0
2016-01-06 21:00:00+00:00,332.75,24.75,1045.0,3476.0,10287.0
2016-01-06 22:00:00+00:00,213.5,43.75,1145.0,2796.0,9546.0
2016-01-06 23:00:00+00:00,176.5,23.0,927.0,1664.0,8189.0
2016-01-07 00:00:00+00:00,182.75,36.0,330.0,1447.0,7673.0
2016-01-07 01:00:00+00:00,147.5,13.25,373.0,1401.0,7515.0
2016-01-07 02:00:00+00:00,148.5,23.0,370.0,1281.0,7549.0
2016-01-07 03:00:00+00:00,161.75,30.25,382.0,1421.0,7659.0
2016-01-07 04:00:00+00:00,169.5,35.75,365.0,1466.0,8351.0
2016-01-07 05:00:00+00:00,303.0,70.5,379.0,1855.0,10262.0
2016-01-07 06:00:00+00:00,303.25,77.5,883.0,2253.0,11856.0
2016-01-07 07:00:00+00:00,302.5,92.75,981.0,2980.0,12023.0
2016-01-07 08:00:00+00:00,432.75,60.75,1064.0,3613.0,12002.0
2016-01-07 09:00:00+00:00,487.5,54.0,1105.0,3781.0,11968.0
2016-01-07 10:00:00+00:00,330.0,138.0,1065.0,3930.0,11931.0
2016-01-07 11:00:00+00:00,334.75,69.0,886.0,4223.0,11778.0
2016-01-07 12:00:00+00:00,346.75,141.0,905.0,3996.0,11785.0
2016-01-07 13:00:00+00:00,293.25,187.5,839.0,3779.0,11728.0
2016-01-07 14:00:00+00:00,248.25,64.25,942.0,2883.0,11901.0
2016-01-07 15:00:00+00:00,176.75,8.0,958.0,3280.0,11908.0
2016-01-07 16:00:00+00:00,418.25,36.75,959.0,4240.0,11870.0
2016-01-07 17:00:00+00:00,703.25,34.25,976.0,4935.0,11824.0
2016-01-07 18:00:00+00:00,316.5,21.25,957.0,4696.0,11556.0
2016-01-07 19:00:00+00:00,158.0,10.0,1064.0,3992.0,10982.0
2016-01-07 20:00:00+00:00,70.0,14.0,1032.0,3658.0,10089.0
2016-01-07 21:00:00+00:00,78.0,12.75,964.0,3331.0,9212.0
2016-01-07 22:00:00+00:00,195.5,35.25,882.0,2796.0,8582.0
2016-01-07 23:00:00+00:00,285.0,21.75,1155.0,2484.0,7166.0
2016-01-08 00:00:00+00:00,307.5,14.5,1063.0,2278.0,6618.0
2016-01-08 01:00:00+00:00,238.75,48.5,1107.0,2007.0,6512.0
2016-01-08 02:00:00+00:00,255.5,28.0,909.0,1963.0,6478.0
2016-01-08 03:00:00+00:00,242.25,57.0,1004.0,2078.0,6589.0
2016-01-08 04:00:00+00:00,267.25,26.0,1077.0,2281.0,7335.0
2016-01-08 05:00:00+00:00,281.75,77.0,1109.0,2635.0,9421.0
2016-01-08 06:00:00+00:00,224.25,101.5,1093.0,3504.0,10876.0
2016-01-08 07:00:00+00:00,137.25,36.5,1122.0,4178.0,11550.0
2016-01-08 08:00:00+00:00,105.0,31.0,1136.0,4074.0,11686.0
2016-01-08 09:00:00+00:00,60.25,20.75,1181.0,4093.0,11531.0
2016-01-08 10:00:00+00:00,85.25,25.0,1172.0,4244.0,11435.0
2016-01-08 11:00:00+00:00,161.5,44.5,1075.0,4309.0,11206.0
2016-01-08 12:00:00+00:00,148.5,95.5,944.0,3723.0,11103.0
2016-01-08 13:00:00+00:00,110.0,95.75,953.0,2478.0,11225.0
2016-01-08 14:00:00+00:00,106.75,97.5,1156.0,2914.0,11314.0
2016-01-08 15:00:00+00:00,503.75,64.5,1339.0,3895.0,11372.0
2016-01-08 16:00:00+00:00,494.75,83.75,1356.0,5179.0,11621.0
2016-01-08 17:00:00+00:00,673.75,49.0,1333.0,5654.0,11632.0
2016-01-08 18:00:00+00:00,450.25,31.75,1364.0,5922.0,11427.0
2016-01-08 19:00:00+00:00,352.0,38.75,1373.0,5602.0,10952.0
2016-01-08 20:00:00+00:00,235.25,39.5,1297.0,5551.0,10568.0
2016-01-08 21:00:00+00:00,164.75,85.5,1236.0,4267.0,9799.0
2016-01-08 22:00:00+00:00,90.75,42.75,1156.0,3216.0,9203.0
2016-01-08 23:00:00+00:00,160.75,79.0,970.0,3297.0,7815.0
2016-01-09 00:00:00+00:00,79.75,48.25,990.0,2985.0,7381.0
2016-01-09 01:00:00+00:00,82.75,61.25,931.0,2613.0,7121.0
2016-01-09 02:00:00+00:00,124.0,90.5,918.0,2450.0,6987.0
2016-01-09 03:00:00+00:00,81.25,47.75,1057.0,2302.0,6976.0
2016-01-09 04:00:00+00:00,63.5,47.0,1010.0,2281.0,7307.0
2016-01-09 05:00:00+00:00,96.0,30.25,988.0,2647.0,7961.0
2016-01-09 06:00:00+00:00,134.0,38.0,1094.0,3140.0,9232.0
2016-01-09 07:00:00+00:00,134.25,31.0,1245.0,3060.0,10301.0
2016-01-09 08:00:00+00:00,86.0,48.0,1168.0,4240.0,10853.0
2016-01-09 09:00:00+00:00,88.75,36.75,1108.0,4254.0,11019.0
2016-01-09 10:00:00+00:00,107.5,72.5,1166.0,4100.0,11166.0
2016-01-09 11:00:00+00:00,101.5,56.5,1069.0,3557.0,11183.0
2016-01-09 12:00:00+00:00,105.5,59.5,1001.0,2911.0,11101.0
2016-01-09 13:00:00+00:00,137.0,52.25,972.0,2777.0,11083.0
2016-01-09 14:00:00+00:00,140.75,26.25,1008.0,2433.0,11170.0
2016-01-09 15:00:00+00:00,94.25,22.75,990.0,2306.0,11506.0
2016-01-09 16:00:00+00:00,168.25,37.25,980.0,2471.0,11629.0
2016-01-09 17:00:00+00:00,201.75,34.75,1076.0,4125.0,11342.0
2016-01-09 18:00:00+00:00,86.25,17.0,1060.0,3937.0,11015.0
2016-01-09 19:00:00+00:00,75.5,22.0,1059.0,3147.0,10588.0
2016-01-09 20:00:00+00:00,93.75,16.25,999.0,3545.0,9911.0
2016-01-09 21:00:00+00:00,122.75,28.25,1067.0,2985.0,9380.0
2016-01-09 22:00:00+00:00,134.0,31.5,1026.0,3200.0,8691.0
2016-01-09 23:00:00+00:00,98.25,42.5,661.0,2474.0,6726.0
2016-01-10 00:00:00+00:00,200.0,46.0,273.0,2449.0,5976.0
2016-01-10 01:00:00+00:00,143.75,45.5,257.0,2184.0,5828.0
2016-01-10 02:00:00+00:00,89.0,42.25,356.0,2028.0,5767.0
2016-01-10 03:00:00+00:00,82.0,55.5,422.0,1844.0,5707.0
2016-01-10 04:00:00+00:00,76.25,33.0,482.0,1821.0,5745.0
2016-01-10 05:00:00+00:00,90.5,34.75,665.0,1973.0,6186.0
2016-01-10 06:00:00+00:00,116.75,35.25,740.0,2286.0,6460.0
2016-01-10 07:00:00+00:00,109.5,37.0,599.0,2161.0,6942.0
2016-01-10 08:00:00+00:00,90.0,48.75,449.0,2555.0,7295.0
2016-01-10 09:00:00+00:00,107.75,14.25,341.0,2790.0,8159.0
2016-01-10 10:00:00+00:00,120.5,14.0,1005.0,2773.0,8694.0
2016-01-10 11:00:00+00:00,90.75,45.25,943.0,2954.0,8830.0
2016-01-10 12:00:00+00:00,120.5,21.75,970.0,3675.0,8790.0
2016-01-10 13:00:00+00:00,99.75,42.75,768.0,3622.0,8811.0
2016-01-10 14:00:00+00:00,126.5,20.25,364.0,3650.0,9091.0
2016-01-10 15:00:00+00:00,199.25,47.25,308.0,3483.0,9931.0
2016-01-10 16:00:00+00:00,150.75,24.25,384.0,3735.0,10549.0
2016-01-10 17:00:00+00:00,209.5,19.75,782.0,5153.0,10414.0
2016-01-10 18:00:00+00:00,214.75,18.5,890.0,5640.0,10157.0
2016-01-10 19:00:00+00:00,106.75,50.5,960.0,6187.0,9536.0
2016-01-10 20:00:00+00:00,94.0,79.5,924.0,6042.0,8904.0
2016-01-10 21:00:00+00:00,134.75,39.25,947.0,5338.0,8407.0
2016-01-10 22:00:00+00:00,75.0,10.25,840.0,4011.0,7622.0
2016-01-10 23:00:00+00:00,180.75,87.25,346.0,3855.0,6662.0
2016-01-11 00:00:00+00:00,158.75,111.25,266.0,3603.0,6126.0
2016-01-11 01:00:00+00:00,139.0,114.5,255.0,3587.0,5903.0
2016-01-11 02:00:00+00:00,115.0,135.5,285.0,3559.0,5864.0
2016-01-11 03:00:00+00:00,111.0,85.75,340.0,3499.0,6095.0
2016-01-11 04:00:00+00:00,171.25,121.75,331.0,3491.0,6994.0
2016-01-11 05:00:00+00:00,237.5,174.0,392.0,3763.0,9531.0
2016-01-11 06:00:00+00:00,235.25,123.75,1004.0,3653.0,11154.0
2016-01-11 07:00:00+00:00,293.0,83.5,1057.0,4318.0,11429.0
2016-01-11 08:00:00+00:00,178.5,59.75,1100.0,4824.0,11210.0
2016-01-11 09:00:00+00:00,216.25,84.75,1129.0,5062.0,11371.0
2016-01-11 10:00:00+00:00,263.0,56.25,964.0,4601.0,11387.0
2016-01-11 11:00:00+00:00,360.0,58.0,881.0,4403.0,11384.0
2016-01-11 12:00:00+00:00,395.75,71.25,1024.0,3997.0,11492.0
2016-01-11 13:00:00+00:00,283.75,47.5,987.0,4146.0,11548.0
2016-01-11 14:00:00+00:00,182.75,43.0,991.0,4249.0,11481.0
2016-01-11 15:00:00+00:00,147.25,40.25,795.0,4401.0,11556.0
2016-01-11 16:00:00+00:00,143.5,44.75,852.0,5169.0,11296.0
2016-01-11 17:00:00+00:00,181.0,54.25,1034.0,6546.0,11057.0
2016-01-11 18:00:00+00:00,227.75,50.5,927.0,6742.0,11199.0
2016-01-11 19:00:00+00:00,254.0,67.5,950.0,6108.0,11004.0
2016-01-11 20:00:00+00:00,185.0,98.5,1063.0,5857.0,10571.0
2016-01-11 21:00:00+00:00,162.75,115.0,1006.0,5309.0,9664.0
2016-01-11 22:00:00+00:00,138.0,90.5,926.0,4835.0,8817.0
2016-01-11 23:00:00+00:00,157.0,102.0,817.0,4603.0,6927.0
2016-01-12 00:00:00+00:00,154.75,104.0,647.0,4463.0,6348.0
2016-01-12 01:00:00+00:00,123.25,100.25,711.0,4465.0,5989.0
2016-01-12 02:00:00+00:00,98.5,91.5,596.0,4619.0,5913.0
2016-01-12 03:00:00+00:00,193.75,93.25,644.0,4523.0,5987.0
2016-01-12 04:00:00+00:00,209.25,95.5,546.0,4410.0,6747.0
2016-01-12 05:00:00+00:00,105.0,131.5,925.0,4730.0,9342.0
2016-01-12 06:00:00+00:00,191.75,130.5,1123.0,5212.0,11010.0
2016-01-12 07:00:00+00:00,300.0,93.25,1281.0,6232.0,11391.0
2016-01-12 08:00:00+00:00,279.5,106.5,1278.0,6592.0,11503.0
2016-01-12 09:00:00+00:00,221.25,66.25,1311.0,6364.0,11614.0
2016-01-12 10:00:00+00:00,216.75,106.25,1267.0,6206.0,11573.0
2016-01-12 11:00:00+00:00,200.25,86.75,1188.0,5551.0,11531.0
2016-01-12 12:00:00+00:00,329.0,62.0,1223.0,5286.0,11520.0
2016-01-12 13:00:00+00:00,175.75,72.25,1168.0,4838.0,11494.0
2016-01-12 14:00:00+00:00,162.0,78.75,1238.0,4648.0,11241.0
2016-01-12 15:00:00+00:00,265.5,114.5,1211.0,4745.0,11256.0
2016-01-12 16:00:00+00:00,258.25,157.75,1145.0,5743.0,11174.0
2016-01-12 17:00:00+00:00,240.5,105.75,1107.0,6822.0,11347.0
2016-01-12 18:00:00+00:00,261.0,58.5,1082.0,7965.0,11323.0
2016-01-12 19:00:00+00:00,313.5,36.5,1173.0,7897.0,11099.0
2016-01-12 20:00:00+00:00,213.5,46.75,1338.0,8038.0,10540.0
2016-01-12 21:00:00+00:00,228.25,87.0,1173.0,7587.0,9897.0
2016-01-12 22:00:00+00:00,269.5,92.25,1233.0,6347.0,8886.0
2016-01-12 23:00:00+00:00,288.5,126.5,1079.0,4749.0,7226.0
2016-01-13 00:00:00+00:00,121.5,63.5,846.0,4549.0,6679.0
2016-01-13 01:00:00+00:00,218.0,70.0,687.0,4515.0,6406.0
2016-01-13 02:00:00+00:00,195.25,46.5,337.0,4508.0,6217.0
2016-01-13 03:00:00+00:00,144.5,97.5,332.0,4408.0,6445.0
2016-01-13 04:00:00+00:00,205.5,79.0,334.0,4390.0,7384.0
2016-01-13 05:00:00+00:00,158.25,109.75,553.0,4634.0,10038.0
2016-01-13 06:00:00+00:00,171.0,112.75,865.0,5361.0,11489.0
2016-01-13 07:00:00+00:00,168.75,87.0,950.0,7168.0,11795.0
2016-01-13 08:00:00+00:00,289.5,75.25,850.0,7313.0,11776.0
2016-01-13 09:00:00+00:00,170.5,92.25,947.0,7108.0,11964.0
2016-01-13 10:00:00+00:00,283.25,138.5,1027.0,6885.0,11873.0
2016-01-13 11:00:00+00:00,176.5,139.0,1046.0,6252.0,11819.0
2016-01-13 12:00:00+00:00,96.25,147.0,1044.0,5748.0,11579.0
2016-01-13 13:00:00+00:00,75.0,151.5,1104.0,5231.0,11562.0
2016-01-13 14:00:00+00:00,167.25,122.5,1094.0,5276.0,11937.0
2016-01-13 15:00:00+00:00,167.0,90.0,1114.0,5451.0,11988.0
2016-01-13 16:00:00+00:00,350.25,68.25,1079.0,6322.0,11761.0
2016-01-13 17:00:00+00:00,368.25,93.75,1088.0,7910.0,11608.0
2016-01-13 18:00:00+00:00,508.25,64.5,864.0,7566.0,11466.0
2016-01-13 19:00:00+00:00,334.5,83.5,577.0,7365.0,11158.0
2016-01-13 20:00:00+00:00,224.0,85.0,671.0,6375.0,10983.0
2016-01-13 21:00:00+00:00,142.5,94.75,512.0,5055.0,10445.0
2016-01-13 22:00:00+00:00,238.5,110.0,475.0,4430.0,9463.0
2016-01-13 23:00:00+00:00,165.75,101.5,510.0,4284.0,7810.0
2016-01-14 00:00:00+00:00,202.75,118.5,301.0,4207.0,7206.0
2016-01-14 01:00:00+00:00,158.5,127.75,310.0,4185.0,6979.0
2016-01-14 02:00:00+00:00,146.25,127.75,273.0,4293.0,6930.0
2016-01-14 03:00:00+00:00,188.0,133.25,250.0,4345.0,7227.0
2016-01-14 04:00:00+00:00,206.5,131.5,272.0,4138.0,8671.0
2016-01-14 05:00:00+00:00,202.5,141.5,262.0,4527.0,10992.0
2016-01-14 06:00:00+00:00,329.5,123.0,259.0,5373.0,11863.0
2016-01-14 07:00:00+00:00,512.75,129.0,455.0,6403.0,11790.0
2016-01-14 08:00:00+00:00,334.25,95.0,553.0,6217.0,11587.0
2016-01-14 09:00:00+00:00,194.0,70.25,572.0,6789.0,11799.0
2016-01-14 10:00:00+00:00,147.0,74.5,1182.0,7114.0,12025.0
2016-01-14 11:00:00+00:00,128.5,77.25,1284.0,6951.0,11822.0
2016-01-14 12:00:00+00:00,146.25,69.5,1313.0,6463.0,11797.0
2016-01-14 13:00:00+00:00,160.0,75.5,1175.0,5967.0,11790.0
2016-01-14 14:00:00+00:00,301.25,75.25,1134.0,5414.0,11747.0
2016-01-14 15:00:00+00:00,267.5,73.75,1101.0,5361.0,11787.0
2016-01-14 16:00:00+00:00,304.0,81.5,1124.0,6110.0,11773.0
2016-01-14 17:00:00+00:00,256.25,78.25,1322.0,7296.0,11770.0
2016-01-14 18:00:00+00:00,308.0,71.75,1338.0,7853.0,11716.0
2016-01-14 19:00:00+00:00,287.75,62.75,1284.0,7190.0,11469.0
2016-01-14 20:00:00+00:00,189.75,80.25,1071.0,6652.0,11280.0
2016-01-14 21:00:00+00:00,143.25,78.5,1182.0,5943.0,10615.0
2016-01-14 22:00:00+00:00,126.75,96.0,1122.0,4772.0,9447.0
2016-01-14 23:00:00+00:00,103.75,62.75,1160.0,4265.0,8069.0
2016-01-15 00:00:00+00:00,125.0,56.25,959.0,4117.0,7550.0
2016-01-15 01:00:00+00:00,139.75,54.25,695.0,4094.0,7310.0
2016-01-15 02:00:00+00:00,89.75,52.0,295.0,4204.0,7255.0
2016-01-15 03:00:00+00:00,90.75,94.5,263.0,4196.0,7342.0
2016-01-15 04:00:00+00:00,106.0,88.5,644.0,4358.0,8416.0
2016-01-15 05:00:00+00:00,180.0,117.75,636.0,4575.0,10680.0
2016-01-15 06:00:00+00:00,292.25,140.0,590.0,5095.0,11670.0
2016-01-15 07:00:00+00:00,397.75,102.0,778.0,6105.0,11794.0
2016-01-15 08:00:00+00:00,792.5,116.5,833.0,6906.0,11832.0
2016-01-15 09:00:00+00:00,816.25,198.75,903.0,6886.0,12429.0
2016-01-15 10:00:00+00:00,745.25,147.0,947.0,6459.0,11861.0
2016-01-15 11:00:00+00:00,770.0,79.75,978.0,5888.0,11837.0
2016-01-15 12:00:00+00:00,641.25,42.5,977.0,5003.0,11804.0
2016-01-15 13:00:00+00:00,449.25,39.75,998.0,4355.0,11774.0
2016-01-15 14:00:00+00:00,501.75,32.25,1036.0,4238.0,11827.0
2016-01-15 15:00:00+00:00,254.5,34.0,1071.0,4620.0,11916.0
2016-01-15 16:00:00+00:00,657.25,30.5,1314.0,5102.0,11709.0
2016-01-15 17:00:00+00:00,759.75,11.75,1373.0,6517.0,11650.0
2016-01-15 18:00:00+00:00,337.75,23.25,1275.0,7073.0,11575.0
2016-01-15 19:00:00+00:00,210.0,34.5,1335.0,6423.0,11302.0
